Date,Open,High,Low,Close,Adjusted_close,Volume
2024-12-18,26.5600,26.6500,26.3800,26.4150,26.4150,0
2024-12-19,26.0350,26.1500,25.3800,25.5250,25.5250,0
2024-12-20,25.6650,26.0550,25.4250,25.9050,25.9050,0
2024-12-23,26.1850,26.2300,26.0000,26.1050,26.1050,0
2024-12-30,25.8800,25.9350,25.4500,25.4500,25.4500,0
2025-01-02,25.9350,26.4000,25.8650,26.3700,26.3700,0
2025-01-03,26.4300,26.6350,26.3700,26.5150,26.5150,0
2025-01-06,26.3100,26.7000,26.2000,26.6050,26.6050,0
2025-01-07,26.5800,26.8150,26.5250,26.6700,26.6700,0
2025-01-08,26.6600,27.0400,26.6600,26.8450,26.8450,0
2025-01-09,26.8150,27.1200,26.8150,26.9000,26.9000,0
2025-01-10,26.9700,27.3700,26.8000,27.3000,27.3000,0
2025-01-13,27.1950,27.2300,26.5250,26.6250,26.6250,0
2025-01-14,26.4150,26.7500,26.4150,26.6650,26.6650,0
2025-01-15,26.6900,27.1050,26.6150,27.0900,27.0900,0
2025-01-16,27.3900,27.5400,27.2200,27.4150,27.4150,0
2025-01-17,27.2850,27.2850,26.8550,27.0950,27.0950,0
2025-01-20,27.0400,27.0400,26.5050,26.7800,26.7800,0
